model,accuracy,genderStatus,genderIdentity
IRNv1,1,TRANS,Man
IRNv1,1,TRANS,Man
IRNv1,1,TRANS,Man
IRNv1,1,TRANS,Man
IRNv1,1,TRANS,Man
IRNv1,0,TRANS,Man
IRNv1,1,TRANS,Man
IRNv1,1,TRANS,Man
IRNv1,1,TRANS,Man
IRNv1,1,TRANS,Man
IRNv1,0,TRANS,Man
IRNv1,0,TRANS,Man
IRNv1,0,TRANS,Man
IRNv1,1,TRANS,Man
IRNv1,0,TRANS,Man
IRNv1,0,TRANS,Man
IRNv1,0,TRANS,Man
IRNv1,0,TRANS,Man
IRNv1,1,TRANS,Man
IRNv1,1,TRANS,Man
IRNv1,1,TRANS,Man
IRNv1,1,TRANS,Man
IRNv1,0,TRANS,Man
IRNv1,0,TRANS,Man
IRNv1,0,TRANS,Man
IRNv1,0,TRANS,Man
IRNv1,0,TRANS,Man
IRNv1,1,TRANS,Man
IRNv1,1,TRANS,Man
IRNv1,0,TRANS,Man
IRNv1,1,TRANS,Man
IRNv1,0,TRANS,Man
IRNv1,1,TRANS,Man
IRNv1,0,TRANS,Man
IRNv1,0,TRANS,Man
IRNv1,0,TRANS,Man
IRNv1,0,TRANS,Man
IRNv1,1,TRANS,Man
IRNv1,1,TRANS,Man
IRNv1,1,TRANS,Man
IRNv1,0,TRANS,Man
IRNv1,0,TRANS,Man
IRNv1,1,TRANS,Man
IRNv1,0,TRANS,Man
IRNv1,0,TRANS,Man
IRNv1,1,TRANS,Man
IRNv1,0,TRANS,Man
IRNv1,0,TRANS,Man
IRNv1,1,TRANS,Man
IRNv1,0,TRANS,Man
IRNv1,1,TRANS,Man
IRNv1,1,TRANS,Man
IRNv1,1,TRANS,Man
IRNv1,1,TRANS,Man
IRNv1,0,TRANS,Man
IRNv1,0,TRANS,Man
IRNv1,1,TRANS,Man
IRNv1,1,TRANS,Man
IRNv1,1,TRANS,Man
IRNv1,1,TRANS,Man
IRNv1,1,TRANS,Man
IRNv1,1,TRANS,Man
IRNv1,0,TRANS,Man
IRNv1,1,TRANS,Man
IRNv1,0,TRANS,Man
IRNv1,1,TRANS,Man
