model,accuracy,genderStatus,genderIdentity
IRNv1,1,TRUE,Man
IRNv1,1,TRUE,Man
IRNv1,1,TRUE,Man
IRNv1,1,TRUE,Man
IRNv1,1,TRUE,Man
IRNv1,0,TRUE,Man
IRNv1,1,TRUE,Man
IRNv1,1,TRUE,Man
IRNv1,1,TRUE,Man
IRNv1,1,TRUE,Man
IRNv1,0,TRUE,Man
IRNv1,0,TRUE,Man
IRNv1,0,TRUE,Man
IRNv1,1,TRUE,Man
IRNv1,0,TRUE,Man
IRNv1,0,TRUE,Man
IRNv1,0,TRUE,Man
IRNv1,0,TRUE,Man
IRNv1,1,TRUE,Man
IRNv1,1,TRUE,Man
IRNv1,1,TRUE,Man
IRNv1,1,TRUE,Man
IRNv1,0,TRUE,Man
IRNv1,0,TRUE,Man
IRNv1,0,TRUE,Man
IRNv1,0,TRUE,Man
IRNv1,0,TRUE,Man
IRNv1,1,TRUE,Man
IRNv1,1,TRUE,Man
IRNv1,0,TRUE,Man
IRNv1,1,TRUE,Man
IRNv1,0,TRUE,Man
IRNv1,1,TRUE,Man
IRNv1,0,TRUE,Man
IRNv1,0,TRUE,Man
IRNv1,0,TRUE,Man
IRNv1,0,TRUE,Man
IRNv1,1,TRUE,Man
IRNv1,1,TRUE,Man
IRNv1,1,TRUE,Man
IRNv1,0,TRUE,Man
IRNv1,0,TRUE,Man
IRNv1,1,TRUE,Man
IRNv1,0,TRUE,Man
IRNv1,0,TRUE,Man
IRNv1,1,TRUE,Man
IRNv1,0,TRUE,Man
IRNv1,0,TRUE,Man
IRNv1,1,TRUE,Man
IRNv1,0,TRUE,Man
IRNv1,1,TRUE,Man
IRNv1,1,TRUE,Man
IRNv1,1,TRUE,Man
IRNv1,1,TRUE,Man
IRNv1,0,TRUE,Man
IRNv1,0,TRUE,Man
IRNv1,1,TRUE,Man
IRNv1,1,TRUE,Man
IRNv1,1,TRUE,Man
IRNv1,1,TRUE,Man
IRNv1,1,TRUE,Man
IRNv1,1,TRUE,Man
IRNv1,0,TRUE,Man
IRNv1,1,TRUE,Man
IRNv1,0,TRUE,Man
IRNv1,1,TRUE,Man
IRNv1,0,TRUE,Man
IRNv1,0,TRUE,Man
IRNv1,1,TRUE,Man
IRNv1,0,TRUE,Man
IRNv1,1,TRUE,Man
IRNv1,1,TRUE,Man
IRNv1,0,TRUE,Man
IRNv1,0,TRUE,Man
IRNv1,0,TRUE,Man
IRNv1,0,TRUE,Man
IRNv1,0,TRUE,Man
